(tensor(1.4591, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7487, device='cuda:0', grad_fn=<AddBackward0>), 1510)
(tensor(1.5174, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3843, device='cuda:0', grad_fn=<AddBackward0>), 1520)
(tensor(1.2824, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0685, device='cuda:0', grad_fn=<AddBackward0>), 1530)
(tensor(0.6285, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.4428, device='cuda:0', grad_fn=<AddBackward0>), 1540)
(tensor(1.7653, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9711, device='cuda:0', grad_fn=<AddBackward0>), 1550)
(tensor(2.4359, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1055, device='cuda:0', grad_fn=<AddBackward0>), 1560)
(tensor(1.3977, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0911, device='cuda:0', grad_fn=<AddBackward0>), 1570)
(tensor(1.1726, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8123, device='cuda:0', grad_fn=<AddBackward0>), 1580)
(tensor(1.2551, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0722, device='cuda:0', grad_fn=<AddBackward0>), 1590)
(tensor(0.7756, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1805, device='cuda:0', grad_fn=<AddBackward0>), 1600)
(tensor(1.0559, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0362, device='cuda:0', grad_fn=<AddBackward0>), 1610)
(tensor(2.3391, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7706, device='cuda:0', grad_fn=<AddBackward0>), 1620)
(tensor(1.0562, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.8431, device='cuda:0', grad_fn=<AddBackward0>), 1630)
(tensor(2.0697, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.3661, device='cuda:0', grad_fn=<AddBackward0>), 1640)
(tensor(1.1382, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2561, device='cuda:0', grad_fn=<AddBackward0>), 1650)
(tensor(1.6044, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6070, device='cuda:0', grad_fn=<AddBackward0>), 1660)
(tensor(1.3255, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.5876, device='cuda:0', grad_fn=<AddBackward0>), 1670)
(tensor(1.9402, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7614, device='cuda:0', grad_fn=<AddBackward0>), 1680)
(tensor(0.7383, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.4493, device='cuda:0', grad_fn=<AddBackward0>), 1690)
(tensor(0.9358, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1209, device='cuda:0', grad_fn=<AddBackward0>), 1700)
(tensor(0.8550, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0191, device='cuda:0', grad_fn=<AddBackward0>), 1710)
(tensor(1.8079, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7586, device='cuda:0', grad_fn=<AddBackward0>), 1720)
(tensor(2.7957, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.4971, device='cuda:0', grad_fn=<AddBackward0>), 1730)
(tensor(2.4039, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9718, device='cuda:0', grad_fn=<AddBackward0>), 1740)
(tensor(1.0221, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9379, device='cuda:0', grad_fn=<AddBackward0>), 1750)
(tensor(0.9204, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1524, device='cuda:0', grad_fn=<AddBackward0>), 1760)
(tensor(1.1493, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2510, device='cuda:0', grad_fn=<AddBackward0>), 1770)
(tensor(0.7058, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3823, device='cuda:0', grad_fn=<AddBackward0>), 1780)
(tensor(0.6759, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2013, device='cuda:0', grad_fn=<AddBackward0>), 1790)
(tensor(0.8701, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0370, device='cuda:0', grad_fn=<AddBackward0>), 1800)
(tensor(1.0288, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.3796, device='cuda:0', grad_fn=<AddBackward0>), 1810)
(tensor(0.7871, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2095, device='cuda:0', grad_fn=<AddBackward0>), 1820)
(tensor(0.4379, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.4060, device='cuda:0', grad_fn=<AddBackward0>), 1830)
(tensor(1.5726, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0996, device='cuda:0', grad_fn=<AddBackward0>), 1840)
(tensor(0.7102, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.8079, device='cuda:0', grad_fn=<AddBackward0>), 1850)
(tensor(0.9655, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.4656, device='cuda:0', grad_fn=<AddBackward0>), 1860)
(tensor(0.8829, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2087, device='cuda:0', grad_fn=<AddBackward0>), 1870)
(tensor(1.2702, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7187, device='cuda:0', grad_fn=<AddBackward0>), 1880)
(tensor(1.5681, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.0370, device='cuda:0', grad_fn=<AddBackward0>), 1890)
(tensor(0.9916, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1544, device='cuda:0', grad_fn=<AddBackward0>), 1900)
(tensor(0.8734, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2614, device='cuda:0', grad_fn=<AddBackward0>), 1910)
(tensor(0.8633, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.1378, device='cuda:0', grad_fn=<AddBackward0>), 1920)
(tensor(1.2125, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.7954, device='cuda:0', grad_fn=<AddBackward0>), 1930)
(tensor(1.3081, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.9712, device='cuda:0', grad_fn=<AddBackward0>), 1940)
(tensor(1.3708, device='cuda:0', grad_fn=<MeanBackward0>), tensor(0.6264, device='cuda:0', grad_fn=<AddBackward0>), 1950)
(tensor(1.3045, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.6954, device='cuda:0', grad_fn=<AddBackward0>), 1960)
(tensor(0.7780, device='cuda:0', grad_fn=<MeanBackward0>), tensor(1.2108, device='cuda:0', grad_fn=<AddBackward0>), 1970)
